Alloy Formula,Rm,Rmd,Vmm,Eea,Eead,XM,XMd,XP,XPd,Hf,Hfd,I1,I1d,I2,I2d,Tm,Tmd,Cp,Cpd,K,Kd,VEC,VECd,Hmix,Smix,Dmax
Fe60.5Cr4Mo14C15B6Er0.5,0.061210165,0.805276028,0.033987571,0.320820368,0.008357332,0.592098505,0.813447672,0.780682337,0.354147854,0.898111335,0.646345647,0.877068033,0.764095593,0.549315906,0.16511774,0.931380456,0.676576336,0.085819653,0.945354112,0.155619654,0.148064128,0.583866667,0.069542448,0.438164783,0.516720842,3
Ni59Zr20Ti16Si2Sn3,0.343648163,0.372929362,0.226797306,0.52415552,0.004104584,0.46235427,0.436656167,0.562840392,0.366220021,0.336181038,0.151057679,0.520406737,0.267888743,0.366786401,0.112847555,0.581661044,0.271143985,0.439243058,0.07906471,0.060687685,0.272423494,0.693866667,0.220228169,0.223628835,0.454245707,3
(Fe0.9Co0.1)58.5Cr6Mo14C18B3Er0.5,0.060250939,0.823452125,0.034154624,0.35532157,0.007358854,0.624280982,0.870262829,0.793551462,0.384708544,0.97195643,0.648893867,0.901357852,0.826839999,0.553179047,0.16078901,0.965229569,0.704354099,0.074696231,0.969426624,0.17193499,0.125365887,0.590333333,0.066905034,0.386267524,0.677045944,3
{[(Fe0.6Co0.4)0.75B0.2Si0.05]0.96Nb0.04}96Cr4,0.067175023,0.606251742,0.029301633,0.317132722,0.006496721,0.500263982,0.141085517,0.679183182,0.040179732,0.540063661,0.371254729,0.73828497,0.186394219,0.559389069,0.162972871,0.677386566,0.23929561,0.1316478,0.763931721,0.10430904,0.184512032,0.618581333,0.140673578,0.610020149,0.708792293,3
Ni59Zr16Ti13Si2Sn3Nb7,0.332180723,0.335934951,0.215242089,0.546222943,0.003500415,0.474295106,0.404891956,0.573778063,0.331541307,0.359899822,0.160663906,0.521504468,0.264665892,0.374231517,0.107544605,0.615555327,0.37543436,0.435433696,0.083504752,0.068663053,0.244322966,0.7032,0.204737775,0.282122321,0.557878658,3
Ni59Zr19Ti11Si2Sn3Nb6,0.338758274,0.360747905,0.222035698,0.547365649,0.00339191,0.473524729,0.406043377,0.567788386,0.353014567,0.357690309,0.158822611,0.519582503,0.269539676,0.372061836,0.109234991,0.613845096,0.365130331,0.436605807,0.08244595,0.067594339,0.248038113,0.701866667,0.206966849,0.254628271,0.543916162,3
Ni59Zr21Ti9Si2Sn3Nb6,0.34282597,0.375800934,0.226271024,0.550902868,0.003227937,0.474295106,0.403079115,0.564142495,0.366058142,0.358661156,0.158153759,0.518128853,0.273110058,0.371150938,0.1099861,0.616424234,0.366690155,0.437122915,0.082071119,0.067652501,0.247760946,0.701866667,0.206966849,0.238748451,0.532801283,3
Fe49Cr15Mo14C19B2Er1,0.063482017,0.851692144,0.037828224,0.369136852,0.006945636,0.611165323,0.924621981,0.779597251,0.434807402,1,0.645770704,0.87122346,0.899431809,0.547161675,0.162319872,1,0.681842138,0.061670715,0.976325539,0.174651123,0.122233578,0.556533333,0.060069446,0.34652006,0.645806559,3
Ni59Zr17Ti13Si2Sn3Nb6,0.334690578,0.344992601,0.217800371,0.54382843,0.003553503,0.472754353,0.408987108,0.571434276,0.339598102,0.356719463,0.159487495,0.521036153,0.265913348,0.372972736,0.108479451,0.611265959,0.363498081,0.4360887,0.082815287,0.067536178,0.248315195,0.701866667,0.206966849,0.270508091,0.550416526,3
Fe72W2Y4B22,0.0724973,0.885868853,0.047698413,0.206230527,0.004122292,0.454008525,0.137038667,0.672477521,0.180741549,0.495628513,0.405931427,0.74948401,0.197662902,0.559031978,0.187812167,0.693372254,0.305610596,0.127745897,0.838429393,0.065547789,0.210702276,0.576533333,0.146944529,0.716663464,0.187567256,3
Fe72Nb4Hf3Y1B20,0.082161683,0.767209429,0.047047082,0.211621301,0.006116484,0.448744286,0.102688522,0.653727228,0.144792385,0.486382037,0.389675708,0.736506062,0.197803891,0.536669165,0.181027791,0.700495915,0.241787462,0.149538546,0.795585323,0.05937542,0.167672375,0.5832,0.129601313,0.643253083,0.23701702,3
Y4Fe72B22Ti2,0.075237946,0.896458926,0.050128646,0.198904222,0.002097609,0.445534384,0.155428386,0.658241188,0.164166438,0.482271004,0.411356728,0.741721219,0.217323387,0.5501015,0.19163977,0.669180771,0.172595287,0.129107614,0.838862193,0.054489871,0.187960016,0.5712,0.154492902,0.685343053,0.187567256,3
Fe72W1Y5B22,0.078771937,0.929849462,0.054721421,0.203710872,0.003268358,0.448872682,0.154372221,0.662581533,0.192042178,0.487593921,0.410155063,0.743313491,0.221315107,0.553081378,0.190902189,0.680297268,0.247981641,0.12969367,0.839476384,0.059847981,0.201543213,0.572533333,0.153805843,0.711916411,0.178637939,3
Fe71W1Y6B22,0.086864055,0.973798458,0.063114624,0.204473204,0.003264932,0.445149196,0.172151198,0.657286312,0.21597194,0.486790462,0.411080072,0.736996856,0.242871097,0.54871112,0.193549821,0.680214515,0.248080322,0.13092611,0.840282151,0.05755788,0.207829939,0.565866667,0.161148592,0.707101785,0.199176737,3
[(Fe0.8Co0.2)0.72Mo0.04B0.24]94Dy6,0.087791836,0.968397112,0.063005899,0.248041867,0.005622398,0.455013096,0.214556359,0.670352488,0.219420408,0.519440043,0.391334173,0.719182329,0.299352312,0.562497259,0.194471969,0.68849556,0.263735834,0.124175163,0.855686166,0.069290061,0.233342681,0.572821333,0.178306473,0.669599734,0.5511785,3
(Fe0.72Mo0.04B0.24)94Dy6,0.085839342,0.967802936,0.061662962,0.21393582,0.004607691,0.439371373,0.200193583,0.664477396,0.220964981,0.508609734,0.402178137,0.720298013,0.299399484,0.549160481,0.19834668,0.692509415,0.258351189,0.12755829,0.857003223,0.059547578,0.225963171,0.554773333,0.16651402,0.68564135,0.2801321,3
(Fe0.72Tb0.03B0.2Si0.05)96Nb4,0.080684619,0.778468708,0.047137347,0.253804778,0.009981911,0.468491603,0.149362503,0.658782863,0.134350236,0.52329429,0.399381319,0.736232116,0.242988949,0.523245161,0.183806549,0.675513036,0.238335974,0.143824849,0.795338178,0.074046318,0.205802847,0.5664,0.145597677,0.597337657,0.325363007,3
Fe70W2Y6B22,0.088681536,0.976200824,0.064484869,0.207755191,0.004083342,0.446561553,0.174129728,0.661887078,0.229238718,0.494021594,0.407773549,0.736850742,0.24288821,0.550291461,0.193154632,0.693206748,0.305808081,0.130210777,0.840058252,0.060967586,0.223305858,0.5632,0.16167605,0.707439654,0.230143615,3
Y4Fe72B22Hf2,0.078584419,0.915740423,0.053555658,0.199914064,0.001952614,0.446047969,0.151821328,0.654074456,0.190405856,0.488035824,0.407128212,0.74169874,0.217426316,0.553081378,0.189841717,0.676973352,0.188873729,0.130262488,0.839476032,0.054569843,0.187513986,0.5712,0.154492902,0.677234208,0.187567256,3
Fe67W5Y6B22,0.094133979,0.983070377,0.068595553,0.21760115,0.005513815,0.450798624,0.179678273,0.675689377,0.26417119,0.515714992,0.397697178,0.736412399,0.242938242,0.555032488,0.191953812,0.732183449,0.429201825,0.12806478,0.839372714,0.071196705,0.259436053,0.5552,0.163077631,0.708453259,0.302327443,3
(Fe0.72Nb0.04B0.20Si0.04)96Y4,0.091404872,0.842763751,0.058208948,0.235942851,0.009283304,0.457809049,0.185369369,0.652838326,0.16180718,0.510487151,0.400882089,0.732756544,0.236716165,0.520823541,0.184501719,0.67858152,0.228931393,0.143760865,0.787107939,0.069908141,0.202347465,0.564693333,0.149434468,0.618568558,0.327304301,3
(Fe0.69Tb0.06B0.2Si0.05)96Nb4,0.103117528,0.904796563,0.070069438,0.26823245,0.009890229,0.461095989,0.177078948,0.643282621,0.209918725,0.520401837,0.402697444,0.714231347,0.318643804,0.508351816,0.193318161,0.671898382,0.244549485,0.153281717,0.8049,0.066812215,0.227879536,0.5472,0.166155789,0.580764477,0.389223903,3
Ca35Mg25Cu40,0.692330461,0.905416574,0.639604991,0.306615752,0.016174512,0.362975707,0.675855582,0.303634953,0.886561701,0.104059343,0.093764466,0.457169211,0.490569215,0.338167449,0.203436603,0.139952756,0.257795767,0.387218559,0.040798153,0.798191183,0.201650074,0.4352,0.681170555,0.890615069,0.430785511,3.5
Mg73Ni15Gd10Ag2,0.636911713,0.237290109,0.505216619,0.068104932,0.073534698,0.419726773,0.290515076,0.272297657,0.468919873,0.102064756,0.149137237,0.58929027,0.255388889,0.262224061,0.084649415,0.106946415,0.607580659,0.491197747,0.413228918,0.317360785,0.233660682,0.152533333,0.775368714,0.987329931,0.224525482,3.5
Mg60Ni23.6Y0.25La16.15,0.634011677,0.483953567,0.521064372,0.167759755,0.053149615,0.399793282,0.421678176,0.286238847,0.597996407,0.106657864,0.206691434,0.51914341,0.483358799,0.238235704,0.117720485,0.136316448,0.598577604,0.426011129,0.066088892,0.245035206,0.233113464,0.2288,0.719945695,0.919666017,0.33167963,3.5
Mg65Ni20Nd15,0.595398138,0.236093246,0.459536171,0.23515953,0.034503949,0.445149196,0.156155348,0.274988672,0.538875008,0.10197035,0.185896055,0.526554778,0.47795222,0.226971333,0.115597497,0.123438,0.585119686,0.424101277,0.077653173,0.262434705,0.211408506,0.188533333,0.740751803,0.944674031,0.275472811,3.5
Al25Gd55Ni20,0.684685501,0.602596284,0.591186545,0.312456995,0.008278964,0.144060398,0.597982186,0.309711436,0.59526511,0.14662594,0.121430296,0.182005985,0.444725272,0.22550657,0.186184941,0.337616763,0.405252188,0.952770815,0.588343701,0.12141172,0.656513588,0.2752,0.505420135,0.291743127,0.364153952,3.5
Fe76Mo3P10C4B4Si3,0.094162828,0.344021163,0.037384375,0.263855874,0.009552984,0.572518104,0.612380778,0.718311571,0.185195293,0.414418878,0.703349164,0.88920676,0.564077205,0.471277793,0.114667608,0.573304431,0.794255879,0.257047857,0.547927704,0.094423058,0.218706905,0.6432,0.018291925,0.553059083,0.291694966,3.5
(Fe0.9Co0.1)64Mo14C15B6Er1,0.065386045,0.828488384,0.038036977,0.326983869,0.008055677,0.603666992,0.800024349,0.786802224,0.346872686,0.900101905,0.644567177,0.890204084,0.746023551,0.551951221,0.165303093,0.919272991,0.691287684,0.091554379,0.947051175,0.157065326,0.150552695,0.599733333,0.07937767,0.441349278,0.581109183,3.5
[(Co0.7Fe0.3)0.75B0.2Si0.05]96Nb4,0.065521634,0.6301099,0.029205621,0.366367707,0.0046942,0.534127677,0.100479746,0.696158447,0.016057025,0.566512358,0.35615955,0.754078744,0.136969416,0.58779672,0.158466588,0.664182484,0.250472566,0.121771232,0.77887137,0.117555626,0.188144475,0.6528,0.153684549,0.600027198,0.580587194,3.5
